ds,y
2020-01-01 00:00:00,5099.342830602247
2020-01-01 01:00:00,4972.347139765763
2020-01-01 02:00:00,5129.5377076201385
2020-01-01 03:00:00,5304.605971281605
2020-01-01 04:00:00,4953.169325055333
2020-01-01 05:00:00,4953.1726086101635
2020-01-01 06:00:00,5315.842563101478
2020-01-01 07:00:00,5153.486945830582
2020-01-01 08:00:00,4906.10512281301
2020-01-01 09:00:00,5108.512008717193
2020-01-01 10:00:00,4907.316461437507
2020-01-01 11:00:00,4906.854049285948
2020-01-01 12:00:00,5048.392454313207
2020-01-01 13:00:00,4617.34395106844
2020-01-01 14:00:00,4655.016433497393
2020-01-01 15:00:00,4887.542494151806
2020-01-01 16:00:00,4797.433775933116
2020-01-01 17:00:00,5062.849466519055
2020-01-01 18:00:00,4818.395184895758
2020-01-01 19:00:00,4717.539259732942
2020-01-01 20:00:00,5293.129753784311
2020-01-01 21:00:00,4954.844739902693
2020-01-01 22:00:00,5013.505640937585
2020-01-01 23:00:00,4715.050362757309
2020-01-02 00:00:00,4891.123455094964
2020-01-02 01:00:00,5022.184517941973
2020-01-02 02:00:00,4769.801284515539
2020-01-02 03:00:00,5075.139603669134
2020-01-02 04:00:00,4879.872262016239
2020-01-02 05:00:00,4941.661250041345
2020-01-02 06:00:00,4879.658677554121
2020-01-02 07:00:00,5370.455636901787
2020-01-02 08:00:00,4997.300555052413
2020-01-02 09:00:00,4788.45781420882
2020-01-02 10:00:00,5164.508982420638
2020-01-02 11:00:00,4755.831270005796
2020-01-02 12:00:00,5041.772719000951
2020-01-02 13:00:00,4608.065975224044
2020-01-02 14:00:00,4734.362790220314
2020-01-02 15:00:00,5039.372247173825
2020-01-02 16:00:00,5147.693315999082
2020-01-02 17:00:00,5034.273656237994
2020-01-02 18:00:00,4976.8703435223515
2020-01-02 19:00:00,4939.779260882142
2020-01-02 20:00:00,4704.295601926515
2020-01-02 21:00:00,4856.031158321059
2020-01-02 22:00:00,4907.872245808043
2020-01-02 23:00:00,5211.424445243783
2020-01-03 00:00:00,5068.7236579136925
2020-01-03 01:00:00,4647.3919689274535
2020-01-03 02:00:00,5064.816793878959
2020-01-03 03:00:00,4922.983543916736
2020-01-03 04:00:00,4864.615599938808
2020-01-03 05:00:00,5122.3352577681735
2020-01-03 06:00:00,5206.19990449919
2020-01-03 07:00:00,5186.25602382324
2020-01-03 08:00:00,4832.1564953554725
2020-01-03 09:00:00,4938.157524829757
2020-01-03 10:00:00,5066.252686280713
2020-01-03 11:00:00,5195.109025424472
2020-01-03 12:00:00,4904.165152430942
2020-01-03 13:00:00,4962.868204667237
2020-01-03 14:00:00,4778.733005198795
2020-01-03 15:00:00,4760.758675183866
2020-01-03 16:00:00,5162.50516447884
2020-01-03 17:00:00,5271.248005714165
2020-01-03 18:00:00,4985.597975683933
2020-01-03 19:00:00,5200.706579578405
2020-01-03 20:00:00,5072.327205009527
2020-01-03 21:00:00,4870.976049078975
2020-01-03 22:00:00,5072.279121101683
2020-01-03 23:00:00,5307.607313293194
2020-01-04 00:00:00,4992.83479217801
2020-01-04 01:00:00,5312.928731162801
2020-01-04 02:00:00,4476.050979182051
2020-01-04 03:00:00,5164.380500875045
2020-01-04 04:00:00,5017.409413647634
2020-01-04 05:00:00,4940.1985299068265
2020-01-04 06:00:00,5018.3521553071005
2020-01-04 07:00:00,4602.4862170798215
2020-01-04 08:00:00,4956.065622432498
2020-01-04 09:00:00,5071.42251430235
2020-01-04 10:00:00,5295.578808948303
2020-01-04 11:00:00,4896.345956345271
2020-01-04 12:00:00,4838.301279421363
2020-01-04 13:00:00,4899.648591283093
